epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,611.955,1.38899,2.08271,1.55859,0.65652,0.46723,0.58805,0.29423,1.30105,2.55144,1.64637,0.000652778,0.000652778,0.000652778
2,1169.29,1.45634,1.85189,1.60995,0.36558,0.47222,0.36103,0.13799,1.99571,3.95367,3.11319,0.00129332,0.00129332,0.00129332
3,1721.17,1.50202,1.76295,1.65728,0.33075,0.56111,0.36287,0.14548,1.96649,2.91564,2.66175,0.00190746,0.00190746,0.00190746
4,2266.78,1.51419,1.61445,1.64567,0.26475,0.2,0.16318,0.06746,2.88311,3.68458,4.16864,0.0018812,0.0018812,0.0018812
5,2780.45,1.51296,1.53496,1.64577,0.69514,0.58272,0.64651,0.31312,1.62927,1.6986,1.88153,0.0018416,0.0018416,0.0018416
6,3323.91,1.46179,1.38423,1.56473,0.43982,0.49444,0.3851,0.1893,1.62871,2.39022,1.80412,0.001802,0.001802,0.001802
7,3861.95,1.45272,1.35901,1.5769,0.80557,0.65556,0.72125,0.37965,1.66697,1.41148,2.10824,0.0017624,0.0017624,0.0017624
8,4368.79,1.43821,1.317,1.58489,0.76331,0.71667,0.76107,0.40551,1.55613,1.34277,1.8183,0.0017228,0.0017228,0.0017228
9,4875.78,1.41708,1.32924,1.57154,0.74746,0.61111,0.68726,0.34495,1.76344,1.45533,2.14627,0.0016832,0.0016832,0.0016832
10,5382.32,1.4058,1.2287,1.53422,0.91459,0.76667,0.86113,0.45299,1.5696,1.15979,1.82988,0.0016436,0.0016436,0.0016436
11,5888.14,1.40163,1.19942,1.54029,0.89332,0.81667,0.89085,0.53453,1.30903,0.98055,1.55533,0.001604,0.001604,0.001604
12,6394.03,1.37017,1.14539,1.50404,0.7989,0.83333,0.86951,0.48233,1.36942,1.0164,1.63525,0.0015644,0.0015644,0.0015644
13,6899.94,1.31154,1.10617,1.45207,0.84805,0.8,0.87967,0.54892,1.25122,0.97251,1.52043,0.0015248,0.0015248,0.0015248
14,7433.13,1.3253,1.06254,1.44677,0.8631,0.82778,0.9044,0.5519,1.25005,0.92071,1.52601,0.0014852,0.0014852,0.0014852
15,7938.92,1.2592,0.99702,1.42999,0.85916,0.8134,0.8947,0.5093,1.33389,0.96508,1.5501,0.0014456,0.0014456,0.0014456
16,8469.75,1.26722,1.0036,1.43609,0.88152,0.77222,0.85973,0.44757,1.59731,1.14408,1.75035,0.001406,0.001406,0.001406
17,8979.31,1.24995,1.01617,1.43535,0.88776,0.85556,0.92532,0.56877,1.25329,0.83316,1.50953,0.0013664,0.0013664,0.0013664
18,9486.85,1.23347,0.97178,1.41607,0.89063,0.85556,0.92598,0.57721,1.26851,0.77934,1.49988,0.0013268,0.0013268,0.0013268
19,10005.7,1.22219,0.95172,1.4046,0.94487,0.8569,0.94675,0.5989,1.27457,0.73033,1.47466,0.0012872,0.0012872,0.0012872
20,10523,1.18457,0.87663,1.37241,0.91304,0.87502,0.9346,0.57611,1.20596,0.76117,1.4689,0.0012476,0.0012476,0.0012476
21,11024,1.20603,0.93433,1.38405,0.82492,0.88999,0.92123,0.59001,1.22683,0.80741,1.44063,0.001208,0.001208,0.001208
22,11522.1,1.20286,0.92723,1.38866,0.9316,0.90802,0.95344,0.62227,1.1672,0.68924,1.41639,0.0011684,0.0011684,0.0011684
23,12024,1.17835,0.89697,1.37099,0.94607,0.86111,0.94773,0.61871,1.11576,0.71633,1.38388,0.0011288,0.0011288,0.0011288
24,12525.3,1.1638,0.82445,1.34181,0.8904,0.90265,0.94283,0.61222,1.16726,0.71628,1.42165,0.0010892,0.0010892,0.0010892
25,13027.6,1.14414,0.8403,1.35435,0.9257,0.87778,0.93731,0.62623,1.12817,0.71379,1.37996,0.0010496,0.0010496,0.0010496
26,13526.9,1.13505,0.84598,1.34101,0.92889,0.90556,0.95237,0.57868,1.20937,0.6953,1.46445,0.00101,0.00101,0.00101
27,14029.1,1.14348,0.7944,1.33369,0.94049,0.87807,0.95479,0.60972,1.16173,0.69094,1.45714,0.0009704,0.0009704,0.0009704
28,14567.6,1.13777,0.80744,1.33935,0.92088,0.90556,0.95848,0.61316,1.19573,0.69302,1.45156,0.0009308,0.0009308,0.0009308
29,15075.6,1.0928,0.75543,1.29454,0.95218,0.88507,0.96973,0.61484,1.14403,0.65468,1.39687,0.0008912,0.0008912,0.0008912
30,15582.9,1.08072,0.76798,1.30029,0.95806,0.95,0.97443,0.66386,1.09669,0.58875,1.34179,0.0008516,0.0008516,0.0008516
31,16092.2,1.09087,0.74396,1.28861,0.94267,0.91667,0.97053,0.64247,1.10853,0.63458,1.34091,0.000812,0.000812,0.000812
32,16600.2,1.0566,0.7521,1.28248,0.95949,0.96111,0.98267,0.68031,1.09567,0.58718,1.33767,0.0007724,0.0007724,0.0007724
33,17106.1,1.06496,0.74003,1.29519,0.9255,0.94444,0.97053,0.6574,1.1348,0.58795,1.37125,0.0007328,0.0007328,0.0007328
34,17612.8,1.02366,0.69676,1.2613,0.97005,0.89979,0.97092,0.65714,1.13088,0.61058,1.35043,0.0006932,0.0006932,0.0006932
35,18119.8,1.03456,0.70469,1.27507,0.95997,0.93268,0.97603,0.6472,1.11971,0.56473,1.4079,0.0006536,0.0006536,0.0006536
36,18627.7,1.03777,0.69694,1.26729,0.93993,0.95627,0.98143,0.67916,1.05167,0.56147,1.31671,0.000614,0.000614,0.000614
37,19135.7,1.0462,0.68868,1.2709,0.95994,0.9318,0.9759,0.67093,1.07637,0.55873,1.35167,0.0005744,0.0005744,0.0005744
38,19642.7,0.99802,0.67108,1.24028,0.98252,0.93661,0.98071,0.68498,1.06923,0.54442,1.31541,0.0005348,0.0005348,0.0005348
39,20147.4,0.97832,0.65364,1.23035,0.96939,0.96111,0.9884,0.70602,1.03887,0.51069,1.29763,0.0004952,0.0004952,0.0004952
40,20653.9,0.95099,0.64385,1.21689,0.98378,0.95556,0.99033,0.67981,1.10327,0.52252,1.36698,0.0004556,0.0004556,0.0004556
41,21157.9,0.85374,0.54437,1.20204,0.97786,0.92778,0.97321,0.6684,1.11001,0.52665,1.4062,0.000416,0.000416,0.000416
42,21662.1,0.82102,0.48764,1.19231,0.96569,0.95,0.98946,0.67568,1.08446,0.52896,1.35803,0.0003764,0.0003764,0.0003764
43,22166.2,0.80644,0.4716,1.17386,0.95584,0.97778,0.98945,0.68939,1.04183,0.51885,1.3292,0.0003368,0.0003368,0.0003368
44,22671.1,0.79433,0.45429,1.14913,0.96552,0.93349,0.97902,0.67977,1.06126,0.53992,1.33333,0.0002972,0.0002972,0.0002972
45,23174.9,0.76596,0.44289,1.14952,0.97896,0.93889,0.98494,0.69656,1.05492,0.5134,1.32311,0.0002576,0.0002576,0.0002576
46,23676.6,0.75404,0.43497,1.14225,0.98294,0.96023,0.98907,0.6881,1.06534,0.50139,1.33255,0.000218,0.000218,0.000218
